timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629372027289,4775,get all todos,200,,jp@gc - spike test 1-1388,text,true,,29883,121,1497,1497,http://localhost:8080/todos,4775,0,1
1629372026825,5260,get all todos,200,,jp@gc - spike test 1-1112,text,true,,29883,121,1488,1488,http://localhost:8080/todos,5260,0,517
1629372026877,5208,get all todos,200,,jp@gc - spike test 1-1462,text,true,,29883,121,1488,1488,http://localhost:8080/todos,5208,0,1
1629372026858,5230,get all todos,200,,jp@gc - spike test 1-1450,text,true,,29883,121,1488,1488,http://localhost:8080/todos,5230,0,1
1629372026983,5110,get all todos,200,,jp@gc - spike test 1-1484,text,true,,29883,121,1486,1486,http://localhost:8080/todos,5110,0,0
1629372027195,4898,get all todos,200,,jp@gc - spike test 1-374,text,true,,29883,121,1486,1486,http://localhost:8080/todos,4898,0,2
1629372027208,4896,get all todos,200,,jp@gc - spike test 1-739,text,true,,29883,121,1483,1483,http://localhost:8080/todos,4840,0,1
1629372026432,5672,get all todos,200,,jp@gc - spike test 1-1281,text,true,,29883,121,1483,1483,http://localhost:8080/todos,5648,0,520
1629372027121,4985,get all todos,200,,jp@gc - spike test 1-771,text,true,,29883,121,1483,1483,http://localhost:8080/todos,4918,0,0
1629372026735,5381,create a to do,201,,jp@gc - spike test 1-1759,text,true,,666,258,1480,1480,http://localhost:8080/todos,5355,0,0
1629372032114,0,create a to do-0,200,OK,jp@gc - spike test 1-1759,text,true,,312,0,1480,1480,null,0,0,0
1629372025853,6261,get all todos,200,,jp@gc - spike test 1-1278,text,true,,29883,121,1480,1480,http://localhost:8080/todos,6211,0,1012
1629372026495,5621,get all todos,200,,jp@gc - spike test 1-1182,text,true,,29883,121,1480,1480,http://localhost:8080/todos,5585,0,509
1629372026362,5755,get all todos,200,,jp@gc - spike test 1-1599,text,true,,29945,121,1479,1479,http://localhost:8080/todos,5718,0,503
1629372027114,5004,get all todos,200,,jp@gc - spike test 1-1325,text,true,,29883,121,1479,1479,http://localhost:8080/todos,4962,0,0
1629372026824,5295,get all todos,200,,jp@gc - spike test 1-307,text,true,,29883,121,1479,1479,http://localhost:8080/todos,5220,0,516
1629372027168,4955,get all todos,200,,jp@gc - spike test 1-754,text,true,,29945,121,1479,1479,http://localhost:8080/todos,4912,0,1
